Classification,Ticket Number,Title,Description,Account,Queue,Resources,Status,Priority,Created,Due,Impact,Issue Type,Sub-Issue Type,Resolution
CDS-Northwest,T20220630.0981,printer,"FROM: Ryan.Madrid@chcs-services.com
FROM NAME: Ryan Madrid
TO: support@synoptek.com
CC: 

Email Body: 
I currently have no printers attached to this computer. This is the computer needed to be added to computer.
( screen shot from another computer in the same room )","iBAS, Inc (CHCS)",CDS-Northwest,"ROBINSON, JAMES (primary) | KUMAR, VISHAL",Complete,P5 - Service Request,7/1/2022 0:19,7/9/2022 4:36,Single User,Endpoint Management,Other,"Downloaded driver
Installed printer using IP Address. 
Updated system

Tested and confirmed printing."
CDS-Northwest,T20220630.0991,Forticlient VPN and DUO,User is requesting set up for Forticlient VPN and Duo,"iBAS, Inc (CHCS)",CDS-Northwest,"ROBINSON, JAMES (primary)",Complete,P5 - Service Request,7/1/2022 0:24,7/19/2022 21:07,Single User,User Administration,Account Administration,
CDS-Northwest,T20220630.1405,Distro lists,"FROM: Kate.Walker@chcs-services.com
FROM NAME: Kate Walker
TO: support@synoptek.com
CC: 

Email Body: 
Hello,

Could I please get a report of all the associates of CHCS's  ""US Associates"" distribution list?

Thank you,

Kate Walker
Executive Assistant","iBAS, Inc (CHCS)",CDS-Northwest,"MORELL, ALEX (primary) | REIMANN, KIRK",Complete,P5 - Service Request,7/1/2022 3:50,7/9/2022 3:50,Single User,User Administration,Other,Kate Walker confirmed she received the members list file and indicated the ticket could be closed.
CDS-Northwest,T20220630.1444,LogicMonitor (critical) Alert - CHUSW2DEVDC03 - CPU,"Group: Devices by Type/Windows Servers, System Type/All Servers (no LM Collectors), Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/US West 2/Servers - Non-Prod, System Type/Windows Host: CHUSW2DEVDC03 Severity Level: critical LMD570428803 critical - CHUSW2DEVDC03 CPU CPUBusyPercent
Windows host CHUSW2DEVDC03 is reporting high CPU usage of No Data % , placing the host into critical state.

This started at 2022-06-30 16:29:02 MDT, -- or 0h 15m ago

https://synoptek.itglue.com/2536478/docs/6271417

Alert Rule: This alert matches the rule iBAS, Inc_Critical
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD570428803&type=alert","iBAS, Inc (CHCS)",EOC,"ARTHURS, DAVID (primary)",Complete,P3 - Moderate,7/1/2022 4:14,7/2/2022 4:14,Single User,Monitoring,CPU - No Data,Closing this one out and opening a new ticket to match current alert.
CDS-Northwest,T20220630.1456,LTC Production Servers update: New Request June 2022,"FROM: paulette.foreman@chcs-services.com
FROM NAME: Paulette Foreman
TO: samos@synoptek.com;support@synoptek.com
CC: ken.cook@chcs-services.com;jkannengieser@synoptek.com;Vaibhav.Tawade@chcs-services.com;sureshkumar.siddabattuni@chcs-services.com;cvaldez@synoptek.com

Email Body: 
Hi Solomon -

Since we are starting from scratch with our Production environment, please have the Prod LTC servers updated also to Server 2019.  We have been running our Stage on 2019 and processing is going fine.

We do not have any data on the Prod servers yet, but plan to start deployment items right away next week after the holiday.  Please have them updated over the weekend and ready for us on Tuesday, July 5 if possible.

Thank you!

The original ticket was closed today - so you this will serve to create new ticket.

pf
Paulette Foreman
Solutions Architect
CHCS Services, Inc.
402.770.0714

From: Solomon Amos <samos@synoptek.com<mailto:samos@synoptek.com>>
Sent: Monday, June 13, 2022 8:45 AM
To: Paulette Foreman <https://urldefense.proofpoint.com/v2/url?u=http-3A__paulette.fo&d=DwIFAg&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=A9OFdfd9KDXoG4FI0YwG_k7qt4p3mv7ZC2IMxT_VkuI&m=KFut4GdD3DUecaRLcuA8JaLqFT-JyWyJDW0Ft7iPMyw&s=-AOEvLTjUIcGJJLNyHBo-6ewPSvIC5hGvded3YBcpzM&e=reman@chcs-se","iBAS, Inc (CHCS)",SO - Public Cloud,"DUBEY, SAHIL (primary) | REIMANN, KIRK",Complete,P5 - Service Request,7/1/2022 4:21,7/9/2022 4:21,Single User,Server Management,Operating System - Upgrade,
CDS-Northwest,T20220630.1597,Log Space Alerts,Log Space Alerts,"iBAS, Inc (CHCS)",SO - Database Management,"BATES, TRENTON ENFIELD (primary)",Complete,P4 - Functional,7/1/2022 5:44,7/7/2022 5:44,Single User,Database,Administration,Log space alert expansion and work.
CDS-Northwest,T20220630.1604,Cluster 2 DR node loss of Sync,"Cluster 2 DR node loss of Sync.

Had to address 3 instances of nodes suddenly not being able to sync within the SQL Availability groups on the prod clusters. I was able to review SQL logs for the most recent and I am starting to suspect network connection loss is the culprit. The particular instance from today shows a gap in logs but a loss of quorum at the Failover cluster level on CHUSW2PRDDBC2C. Eventually it does correct itself but I am suspecting that this occurrence explains the work i had to do in resynchronizing the DB's on Monday for Cluster 2 and 4.

Quorum was lost but there is an odd time jump in the logs that makes me wonder if the alerts i was seeing at 6am were a precursor to this.

I am suspecting network issues and given the multiple subnets and latency most DR nodes have when not connecting locally I am not sure what else it could be.","iBAS, Inc (CHCS)",SO - Firewalls and VPN,"WHITE, JOHN (primary)",Complete,Scheduled,7/1/2022 5:52,8/16/2022 4:30,Single User,Database,Administration,
CDS-Northwest,T20220630.1645,LogicMonitor (error) Alert - US-W2:IBSMANPRDAPP25DR_i-02fff93276c3affbd - EC2,"Group: Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/iBAS CHCS - AWS Cloud - Production/EC2, AWS devices - EC2, Devices by Type/Misc Host: US-W2:IBSMANPRDAPP25DR_i-02fff93276c3affbd Severity Level: error LMD570561111 error - US-W2:IBSMANPRDAPP25DR_i-02fff93276c3affbd EC2 CPUUtilization
AWS EC2 instance US-W2:IBSMANPRDAPP25DR_i-02fff93276c3affbd is experiencing high sustained CPU utilization of No Data % , placing the instance into error state.

This condition started at 2022-06-30 20:05:00 MDT, -- or 0h 28m ago.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD570561111&type=alert","iBAS, Inc (CHCS)",CDS-Northwest,"OLIVIERO, ALEX (primary)",Complete,P4 - Functional,7/1/2022 8:03,7/7/2022 6:30,Single User,Server Management,Other,"Investigating alert
Alert cleared without intervention
auto-generated alert for discovered AWS EC2 instance - receiving no data because instance is likely stopped or termed
not actionable, closing ticket



LMD570561111 ***CLEARED***error - US-W2:IBSMANPRDAPP25DR_i-02fff93276c3affbd EC2 CPUUtilization

ID: LMD570561111
AWS EC2 instance US-W2:IBSMANPRDAPP25DR_i-02fff93276c3affbd is experiencing high sustained CPU utilization of No Data % , placing the instance into error state.

This condition started at 2022-06-30 20:05:00 MDT, -- or Duration is unknown ago."
CDS-Northwest,T20220630.1648,LogicMonitor (error) Alert - US-W2:IBSMANPRDAPP17DR_i-064dce6f595460d2f - EC2,"Group: Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/iBAS CHCS - AWS Cloud - Production/EC2, AWS devices - EC2, Devices by Type/Misc Host: US-W2:IBSMANPRDAPP17DR_i-064dce6f595460d2f Severity Level: error LMD570561091 error - US-W2:IBSMANPRDAPP17DR_i-064dce6f595460d2f EC2 CPUUtilization
AWS EC2 instance US-W2:IBSMANPRDAPP17DR_i-064dce6f595460d2f is experiencing high sustained CPU utilization of No Data % , placing the instance into error state.

This condition started at 2022-06-30 20:05:00 MDT, -- or 0h 29m ago.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD570561091&type=alert","iBAS, Inc (CHCS)",EOC,"SHAIKH, WASIM (primary)",Complete,P3 - Moderate,7/1/2022 8:04,7/2/2022 6:30,Single User,Server Management,CPU Utilization,"as per ticket T20220627.1651 alerting has been disabled.
Closing ticket"
CDS-Northwest,T20220630.1659,Backup Job Failure: .iBAS-NonProd-AWS - defaultBackupSet,"Backup Job exceeded running time of 24 Hrs - Prioritize as P3 - Moderate.
---------------------------------------------------

CommCell: cs01-syn-las1

Client: .iBAS-NonProd-AWS
--Agent Type: Virtual Server
--Client Group: iBAS, Inc
--Backupset: defaultBackupSet
--Subclient: default

Detected Time: Wed Jun 29 20:00:19 2022

Job Information
---------------------------------------------------
Job ID: 6168456
Backup Level: Incremental
Scheduled Time: Wed Jun 29 20:00:08 2022
Start Time: Wed Jun 29 20:00:18 2022
End Time: Not Applicable","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/1/2022 8:32,7/1/2022 7:32,,,,
